transaction_id,item,quantity,price_per_item,subtotal
T001,Gatorboost,1,3.0,3.0
T002,Flixnet,1,5.5,5.5
T002,Dovee,1,5.5,5.5
T003,Flixnet,1,10.0,10.0
T004,Kittykat,1,2.0,2.0
T005,Dovee,1,2.0,2.0
T006,Redcow,3,3.0,9.0
T007,Colgatex,1,4.0,4.0
T007,Krafty Cheddar,1,4.0,4.0
T008,Krafty Cheddar,1,1.0,1.0
T009,Colgatex,1,5.666666666666667,5.666666666666667
T009,Flixnet,1,5.666666666666667,5.666666666666667
T009,Coca-splash,1,5.666666666666667,5.666666666666667
T010,Gatorboost,1,1.0,1.0
T011,Colgatex,1,4.0,4.0
T012,Redcow,3,4.4,13.200000000000001
T012,Krafty Cheddar,2,4.4,8.8
T013,Popsi,2,3.0,6.0
T013,Dovee,1,3.0,3.0
T013,Flixnet,1,3.0,3.0
T014,Dovee,1,1.5,1.5
T014,Colgatex,1,1.5,1.5
T015,Flixnet,2,7.666666666666667,15.333333333333334
T015,Gatorboost,1,7.666666666666667,7.666666666666667
T016,Flixnet,1,5.0,5.0
T016,Oreoz,1,5.0,5.0
T016,Kittykat,1,5.0,5.0
T017,Colgatex,1,4.333333333333333,4.333333333333333
T017,Redcow,1,4.333333333333333,4.333333333333333
T017,Kittykat,1,4.333333333333333,4.333333333333333
T018,Krafty Cheddar,1,5.0,5.0
T019,Oreoz,1,1.0,1.0
T020,Redcow,2,2.5,5.0
T020,Dovee,1,2.5,2.5
T020,Popsi,1,2.5,2.5
T021,Kittykat,1,6.0,6.0
T021,Flixnet,1,6.0,6.0
T022,Flixnet,1,6.333333333333333,6.333333333333333
T022,Redcow,1,6.333333333333333,6.333333333333333
T022,Popsi,1,6.333333333333333,6.333333333333333
T023,Dovee,1,1.0,1.0
T024,Kittykat,2,2.25,4.5
T024,Gatorboost,2,2.25,4.5
T025,Flixnet,1,1.0,1.0
T026,Oreoz,1,3.5,3.5
T026,Colgatex,1,3.5,3.5
